Materials-1,Materials-2,Electrolyte,Voltage window (V),Specific surface area (m2/g),Pore volume (cm3/g),Pore size (nm),Micropore volume (cm3/g),SSA of micropores (m2/g),Id/Ig,N (at. %),O (at. %),B (at. %),S (at. %),F (at. %),P (at. %),Capacitance (F/g),is_composite,has_material_note,mat1_enc,mat2_enc,elec_enc
porous carbon,none,koh,0.8,854.0,1.0,1.2,0.12,269.0,1.0,6.7,4.1,0.0,0.7,5.6,0.0,131.0,0,0,36,5,14
porous carbon,none,koh,0.8,1277.0,1.28,1.2,0.34,757.0,0.0,7.3,7.2,0.0,0.7,0.0,0.0,154.0,0,0,36,5,14
porous carbon,none,koh,0.8,643.0,0.33,1.1,0.28,601.0,0.0,6.6,3.8,0.0,0.8,2.0,0.0,104.0,0,0,36,5,14
porous carbon,none,koh,0.8,588.0,0.34,0.75,0.24,520.0,0.0,5.7,5.4,0.0,0.8,2.3,0.0,112.0,0,0,36,5,14
graphene,none,bmimbf4,3.5,256.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0,0,32,5,0
graphene,none,emimtfsi,3.5,256.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0,0,32,5,5
porous carbon,none,koh,1.0,1330.0,1.35,4.05,0.46,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0,1,36,5,14
porous carbon,none,koh,1.0,1234.0,0.93,3.01,0.45,1052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0,1,36,5,14
porous carbon,none,koh,1.0,1157.0,0.69,2.39,0.43,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0,1,36,5,14
porous carbon,none,koh,1.0,348.0,0.58,6.61,0.1,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0,1,36,5,14
porous carbon,none,koh,1.0,787.0,1.14,5.81,0.24,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,0,1,36,5,14
porous carbon,none,et4NBF4,2.7,1330.0,1.35,4.05,0.46,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0,0,36,5,8
porous carbon,none,et4NBF4,2.7,1234.0,0.93,3.01,0.45,1052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0,0,36,5,8
porous carbon,none,et4NBF4,2.7,1157.0,0.69,2.39,0.43,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0,0,36,5,8
porous carbon,none,et4NBF4,2.7,348.0,0.58,6.61,0.1,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0,0,36,5,8
porous carbon,none,et4NBF4,2.7,787.0,1.14,5.81,0.24,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0,0,36,5,8
graphene,cnt,teabf4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85,7.52,0.0,0.0,0.0,0.0,110.0,1,0,32,2,23
graphene,none,emimtfsi,3.5,3290.0,0.0,1.0,0.0,0.0,0.0,0.0,2.84,0.0,0.0,0.0,0.0,173.0,0,1,32,5,5
graphene,none,lipf6,2.0,466.0,0.6,7.0,0.0,0.0,0.0,2.31,15.69,0.0,0.0,0.0,0.0,110.0,0,1,32,5,17
graphene,none,lipf6,2.0,1040.0,2.6,10.0,0.0,0.0,0.0,5.24,8.0,0.0,0.0,0.0,0.0,210.0,0,1,32,5,17
graphene,cnt,lipf6,2.0,233.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1,0,32,2,17
CNT,none,lipf6,2.0,176.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0,0,9,5,17
porous carbon,none,et4NBF4,2.7,2653.0,1.73,1.2,0.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0,1,36,5,8
porous carbon,none,et4NBF4,2.7,2269.0,1.15,0.7,0.0,752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0,1,36,5,8
graphene,cnt,h2so4,1.0,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.4,1,0,32,2,9
